x,z,dist,ne
68577.7884943001,-30.0868070732463,0,0
68578.7884943001,-30.0807385482157,1,0
68579.7884943001,-30.0746700231855,2,0
68580.7884943001,-30.0686014981548,3,0
68581.7884943001,-30.0625329731246,4,0
68582.7884943001,-30.0564644480939,5,0
68583.7884943001,-30.0503959230638,6,0
68584.7884943001,-30.044327398033,7,0
68585.7884943001,-30.0382588730029,8,0
68586.7884943001,-30.0321903479723,9,0
68587.7884943001,-30.0261218229421,10,0
68588.7884943001,-30.0200529021971,11,0
68589.7884943001,-30.0133479781627,12,0
68590.7884943001,-30.0066430541292,13,0
68591.7884943001,-29.9999381300948,14,0
68592.7884943001,-29.9932332060612,15,0
68593.7884943001,-29.9865282820269,16,0
68594.7884943001,-29.9798233579932,17,0
68595.7884943001,-29.9731184339589,18,0
68596.7884943001,-29.9664135099252,19,0
68597.7884943001,-29.9597085858909,20,0
68598.7884943001,-29.9530036618573,21,0
68599.7884943001,-29.946298737823,22,0
68600.7884943001,-29.9395938137893,23,0
68601.7884943001,-29.932888889755,24,0
68602.7884943001,-29.9261839657213,25,0
68603.7884943001,-29.919479041687,26,0
68604.7884943001,-29.9127741176534,27,0
68605.7884943001,-29.906069193619,28,0
68606.7884943001,-29.8993642695855,29,0
68607.7884943001,-29.892659345551,30,0
68608.7884943001,-29.8859544215174,31,0
68609.7884943001,-29.8792494974831,32,0
68610.7884943001,-29.8725445734494,33,0
68611.7884943001,-29.8658396494152,34,0
68612.7884943001,-29.8591347253815,35,0
68613.7884943001,-29.8524298013478,36,0
68614.7884943001,-29.8457248773135,37,0
68615.7884943001,-29.8390199532799,38,0
68616.7884943001,-29.8323150292455,39,0
68617.7884943001,-29.8256101052119,40,0
68618.7884943001,-29.8189051811776,41,0
68619.7884943001,-29.8122002571438,42,0
68620.7884943001,-29.8054953331096,43,0
68621.7884943001,-29.7987904090759,44,0
68622.7884943001,-29.7920854850417,45,0
68623.7884943001,-29.785380561008,46,0
68624.7884943001,-29.7786756369736,47,0
68625.7884943001,-29.7719707129401,48,0
68626.7884943001,-29.7652657889056,49,0
68627.7884943001,-29.758560864872,50,0
68628.7884943001,-29.7518559408377,51,0
68629.7884943001,-29.7451510168041,52,0
68630.7884943001,-29.7384460927698,53,0
68631.7884943001,-29.7317411687361,54,0
68632.7884943001,-29.7250362447017,55,0
68633.7884943001,-29.7183313206681,56,0
68634.7884943001,-29.7116263966338,57,0
68635.7884943001,-29.7049214726001,58,0
68636.7884943001,-29.6982165485659,59,0
68637.7884943001,-29.6915116245322,60,0
68638.7884943001,-29.6848067004984,61,0
68639.7884943001,-29.6781017764642,62,0
68640.7884943001,-29.6713968524305,63,0
68641.7884943001,-29.6646919283963,64,0
68642.7884943001,-29.6579870043626,65,0
68643.7884943001,-29.6512710568397,66,0
68644.7884943001,-29.6416114220629,67,0
68645.7884943001,-29.6319517872854,68,0
68646.7884943001,-29.6222921525087,69,0
68647.7884943001,-29.6126325177311,70,0
68648.7884943001,-29.6029728829545,71,0
68649.7884943001,-29.5933132481769,72,0
68650.7884943001,-29.5836536134002,73,0
68651.7884943001,-29.5739939786225,74,0
68652.7884943001,-29.5643343438459,75,0
68653.7884943001,-29.5546747090683,76,0
68654.7884943001,-29.5450150742916,77,0
68655.7884943001,-29.5353554395141,78,0
68656.7884943001,-29.5256958047374,79,0
68657.7884943001,-29.5160361699597,80,0
68658.7884943001,-29.506376535183,81,0
68659.7884943001,-29.4967169004055,82,0
68660.7884943001,-29.4870572656288,83,0
68661.7884943001,-29.4773976308512,84,0
68662.7884943001,-29.4677379960746,85,0
