z,x,dist,ne
-30.0740773697271,69064.8110283955,0,1
-30.0611699384152,69065.8110175124,1,1
-30.0482625071044,69066.8110066293,2,1
-30.0353550757925,69067.8109957462,3,1
-30.0224476444817,69068.8109848631,4,1
-30.0095402131699,69069.8109739801,5,1
-29.9966327818589,69070.810963097,6,1
-29.983725350547,69071.8109522139,7,1
-29.9708179192362,69072.8109413308,8,1
-29.9579104879243,69073.8109304477,9,1
-29.9450030566135,69074.8109195646,10,1
-29.9320956253016,69075.8109086815,11,1
-29.9191881939909,69076.8108977984,12,1
-29.9062807626788,69077.8108869153,13,1
-29.8933733313681,69078.8108760323,14,1
-29.8804659000561,69079.8108651491,15,1
-29.8675584687454,69080.8108542661,16,1
-29.8546510374335,69081.810843383,17,1
-29.8417436061227,69082.8108324999,18,1
-29.8288361748109,69083.8108216168,19,1
-29.8159287434999,69084.8108107337,20,1
-29.803021312188,69085.8107998506,21,1
-29.7901138808772,69086.8107889675,22,1
-29.7772064495653,69087.8107780844,23,1
-29.7642990182545,69088.8107672013,24,1
-29.7513915869426,69089.8107563183,25,1
-29.7384841556317,69090.8107454352,26,1
-29.725576724321,69091.8107345521,27,1
-29.7126692930091,69092.810723669,28,1
-29.6997704800714,69093.8107127934,29,1
-29.6871585201549,69094.8107021682,30,1
-29.6745465602392,69095.8106915429,31,1
-29.6619346003227,69096.8106809177,32,1
-29.6493226404072,69097.8106702925,33,1
-29.6367106804906,69098.8106596672,34,1
-29.6240987205752,69099.810649042,35,1
-29.6114867606586,69100.8106384167,36,1
-29.5988748007432,69101.8106277915,37,1
-29.5862628408264,69102.8106171662,38,1
-29.573650880911,69103.810606541,39,1
-29.5610389209944,69104.8105959158,40,1
-29.5484269610789,69105.8105852905,41,1
-29.5358150011624,69106.8105746653,42,1
-29.5232030412469,69107.81056404,43,1
-29.5105910813303,69108.8105534148,44,1
-29.4979791214147,69109.8105427895,45,1
-29.4853671614981,69110.8105321643,46,1
-29.4727552015827,69111.8105215391,47,1
-29.4601432416661,69112.8105109138,48,1
-29.4475478092624,69113.810500303,49,1
-29.4354813339983,69114.8104901538,50,1
-29.4234148587352,69115.8104800046,51,1
-29.4113483834722,69116.8104698554,52,1
-29.3992819082081,69117.8104597061,53,1
-29.3872154329452,69118.8104495569,54,1
-29.3751489576811,69119.8104394077,55,1
-29.3630824824181,69120.8104292585,56,1
-29.3510160071539,69121.8104191093,57,1
-29.3389495318909,69122.8104089601,58,1
-29.3268830566268,69123.8103988108,59,1
-29.3148165813638,69124.8103886616,60,1
-29.3027501060998,69125.8103785124,61,1
-29.2906836308367,69126.8103683632,62,1
-29.2786171555725,69127.810358214,63,1
-29.2665506803096,69128.8103480647,64,1
-29.2544842050455,69129.8103379155,65,1
-29.2424177297824,69130.8103277663,66,1
-29.2303512545184,69131.8103176171,67,1
-29.2182847792554,69132.8103074679,68,1
-29.2062183039913,69133.8102973187,69,1
-29.1941518287282,69134.8102871694,70,1
-29.1820853534642,69135.8102770202,71,1
-29.1700188782011,69136.810266871,72,1
-29.157952402937,69137.8102567218,73,1
-29.1458859276741,69138.8102465726,74,1
-29.13381945241,69139.8102364234,75,1
-29.1217529771469,69140.8102262741,76,1
-29.1096865018839,69141.8102161249,77,1
-29.0976200266198,69142.8102059757,78,1
-29.0855535513568,69143.8101958265,79,1
-29.0734870760927,69144.8101856773,80,1
-29.0614206008298,69145.8101755281,81,1
-29.0493541255656,69146.8101653788,82,1
-29.0372876503025,69147.8101552296,83,1
-29.0252211750385,69148.8101450804,84,1
-29.0131546997755,69149.8101349312,85,1
-29.0010882245114,69150.810124782,86,1
-28.9890217492484,69151.8101146328,87,1
-28.9769552739842,69152.8101044835,88,1
-28.9648887987212,69153.8100943343,89,1
-28.9528223234571,69154.8100841851,90,1
-28.9407558481942,69155.8100740359,91,1
-28.9286893729301,69156.8100638867,92,1
-28.9166228976671,69157.8100537375,93,1
-28.9045564224031,69158.8100435882,94,1
-28.8924899471399,69159.810033439,95,1
-28.8804234718758,69160.8100232898,96,1
-28.8683569966129,69161.8100131406,97,1
-28.8562905213488,69162.8100029914,98,1
-28.8442240460858,69163.8099928422,99,1
-28.8321575708217,69164.8099826929,100,1
-28.8200910955586,69165.8099725437,101,1
-28.8080246202956,69166.8099623945,102,1
-28.7959581450315,69167.8099522453,103,1
-28.7840040476701,69168.8099421941,104,1
-28.7753013965974,69169.8099349804,105,1
-28.7665987455247,69170.8099277667,106,1
-28.7578960944526,69171.809920553,107,1
-28.7491934433807,69172.8099133392,108,1
-28.740490792308,69173.8099061255,109,1
-28.7317881412361,69174.8098989118,110,1
-28.7230854901634,69175.8098916981,111,1
-28.7143828390915,69176.8098844843,112,1
-28.7056801880187,69177.8098772706,113,1
-28.6969775369468,69178.8098700569,114,1
-28.6882748858741,69179.8098628432,115,1
-28.6795722348022,69180.8098556294,116,1
-28.6708695837295,69181.8098484157,117,1
-28.6621669326576,69182.809841202,118,1
-28.6534642815849,69183.8098339883,119,1
-28.6447616305128,69184.8098267745,120,1
-28.6360589794402,69185.8098195608,121,1
-28.6273563283682,69186.8098123471,122,1
-28.6186536772955,69187.8098051334,123,1
-28.6099278685357,69188.8097978994,124,1
-28.6005547250982,69189.8097901006,125,1
-28.5911815816613,69190.8097823017,126,1
-28.5818084382238,69191.8097745029,127,1
-28.572435294787,69192.8097667041,128,1
-28.5630621513494,69193.8097589052,129,1
-28.5536890079127,69194.8097511064,130,1
-28.5443158644751,69195.8097433075,131,1
-28.5349427210382,69196.8097355087,132,1
-28.5255695776015,69197.8097277098,133,1
-28.5161964341639,69198.809719911,134,1
-28.5068232907271,69199.8097121122,135,1
-28.4974501472896,69200.8097043133,136,1
-28.4880770038528,69201.8096965145,137,1
-28.4787038604152,69202.8096887156,138,1
-28.4693307169784,69203.8096809168,139,1
-28.4599575735409,69204.809673118,140,1
-28.4505844301041,69205.8096653191,141,1
-28.4412112866665,69206.8096575203,142,1
-28.4318381432298,69207.8096497214,143,1
-28.4224649997922,69208.8096419226,144,1
-28.4130918563554,69209.8096341238,145,1
-28.4037187129178,69210.8096263249,146,1
-28.3943455694811,69211.8096185261,147,1
-28.3849724260435,69212.8096107272,148,1
-28.3755992826068,69213.8096029284,149,1
-28.3662261391692,69214.8095951296,150,1
-28.3568529957322,69215.8095873307,151,1
-28.3474798522947,69216.8095795319,152,1
-28.3381067088579,69217.809571733,153,1
-28.3287335654204,69218.8095639342,154,1
-28.3193604219836,69219.8095561353,155,1
-28.3099872785461,69220.8095483365,156,1
-28.3006141351092,69221.8095405377,157,1
-28.2912409916725,69222.8095327388,158,1
-28.2818678482349,69223.80952494,159,1
-28.2724947047981,69224.8095171411,160,1
-28.2631215613606,69225.8095093423,161,1
-28.2537484179238,69226.8095015435,162,1
-28.2443752744862,69227.8094937446,163,1
-28.2350021310494,69228.8094859458,164,1
-28.2256289876119,69229.8094781469,165,1
-28.2162558441751,69230.8094703481,166,1
-28.2068827007375,69231.8094625493,167,1
-28.1975095573008,69232.8094547504,168,1
-28.1881364138632,69233.8094469516,169,1
-28.1787632704263,69234.8094391527,170,1
-28.1693901269887,69235.8094313539,171,1
-28.160016983552,69236.8094235551,172,1
-28.1506438401144,69237.8094157562,173,1
-28.1412706966777,69238.8094079574,174,1
-28.1318975532401,69239.8094001585,175,1
-28.1225244098032,69240.8093923597,176,1
-28.1131512663657,69241.8093845609,177,1
-28.1037781229289,69242.809376762,178,1
-28.0945739742637,69243.8093691106,179,1
-28.0896897200941,69244.8093652291,180,1
-28.0848054659241,69245.8093613476,181,1
-28.0799212117545,69246.809357466,182,1
-28.0750369575849,69247.8093535845,183,1
-28.0701527034149,69248.8093497029,184,1
-28.0652684492453,69249.8093458214,185,1
-28.0603841950753,69250.8093419398,186,1
-28.0554999409057,69251.8093380583,187,1
-28.0506156867357,69252.8093341767,188,1
-28.0457314325661,69253.8093302952,189,1
-28.0408471783961,69254.8093264136,190,1
-28.0359629242265,69255.8093225321,191,1
-28.0310786700565,69256.8093186506,192,1
-28.0261944158869,69257.809314769,193,1
-28.0213101617169,69258.8093108875,194,1
-28.0164259075473,69259.8093070059,195,1
-28.0115416533774,69260.8093031244,196,1
-28.0066573992077,69261.8092992428,197,1
-28.0017731450378,69262.8092953613,198,1
-27.9968421785281,69263.809291439,199,1
-27.9907533118753,69264.8092865062,200,1
-27.9846644452229,69265.8092815734,201,1
-27.9785755785701,69266.8092766407,202,1
-27.9724867119177,69267.8092717079,203,1
