x,z,dist,zorg,ne
68577.7884943001,-30.0868070732463,0,-30.0868070732463,1
68578.7884943001,-30.0807385482157,1,-30.0807385482157,1
68579.7884943001,-30.0746700231855,2,-30.0746700231855,1
68580.7884943001,-30.0686014981548,3,-30.0686014981548,1
68581.7884943001,-30.0625329731246,4,-30.0625329731246,1
68582.7884943001,-30.0564644480939,5,-30.0564644480939,1
68583.7884943001,-30.0503959230638,6,-30.0503959230638,1
68584.7884943001,-30.044327398033,7,-30.044327398033,1
68585.7884943001,-30.0382588730029,8,-30.0382588730029,1
68586.7884943001,-30.0321903479723,9,-30.0321903479723,1
68587.7884943001,-30.0261218229421,10,-30.0261218229421,1
68588.7884943001,-30.0200529021971,11,-30.0200529021971,1
68589.7884943001,-30.0133479781627,12,-30.0133479781627,1
68590.7884943001,-30.0066430541292,13,-30.0066430541292,1
68591.7884943001,-29.9999381300948,14,-29.9999381300948,1
68592.7884943001,-29.9932332060612,15,-29.9932332060612,1
68593.7884943001,-29.9865282820269,16,-29.9865282820269,1
68594.7884943001,-29.9798233579932,17,-29.9798233579932,1
68595.7884943001,-29.9731184339589,18,-29.9731184339589,1
68596.7884943001,-29.9664135099252,19,-29.9664135099252,1
68597.7884943001,-29.9597085858909,20,-29.9597085858909,1
68598.7884943001,-29.9530036618573,21,-29.9530036618573,1
68599.7884943001,-29.946298737823,22,-29.946298737823,1
68600.7884943001,-29.9395938137893,23,-29.9395938137893,1
68601.7884943001,-29.932888889755,24,-29.932888889755,1
68602.7884943001,-29.9261839657213,25,-29.9261839657213,1
68603.7884943001,-29.919479041687,26,-29.919479041687,1
68604.7884943001,-29.9127741176534,27,-29.9127741176534,1
68605.7884943001,-29.906069193619,28,-29.906069193619,1
68606.7884943001,-29.8993642695855,29,-29.8993642695855,1
68607.7884943001,-29.892659345551,30,-29.892659345551,1
68608.7884943001,-29.8859544215174,31,-29.8859544215174,1
68609.7884943001,-29.8792494974831,32,-29.8792494974831,1
68610.7884943001,-29.8725445734494,33,-29.8725445734494,1
68611.7884943001,-29.8658396494152,34,-29.8658396494152,1
68612.7884943001,-29.8591347253815,35,-29.8591347253815,1
68613.7884943001,-29.8524298013478,36,-29.8524298013478,1
68614.7884943001,-29.8457248773135,37,-29.8457248773135,1
68615.7884943001,-29.8390199532799,38,-29.8390199532799,1
68616.7884943001,-29.8323150292455,39,-29.8323150292455,1
68617.7884943001,-29.8256101052119,40,-29.8256101052119,1
68618.7884943001,-29.8189051811776,41,-29.8189051811776,1
68619.7884943001,-29.8122002571438,42,-29.8122002571438,1
68620.7884943001,-29.8054953331096,43,-29.8054953331096,1
68621.7884943001,-29.7987904090759,44,-29.7987904090759,1
68622.7884943001,-29.7920854850417,45,-29.7920854850417,1
68623.7884943001,-29.785380561008,46,-29.785380561008,1
68624.7884943001,-29.7786756369736,47,-29.7786756369736,1
68625.7884943001,-29.7719707129401,48,-29.7719707129401,1
68626.7884943001,-29.7652657889056,49,-29.7652657889056,1
68627.7884943001,-29.758560864872,50,-29.758560864872,1
68628.7884943001,-29.7518559408377,51,-29.7518559408377,1
68629.7884943001,-29.7451510168041,52,-29.7451510168041,1
68630.7884943001,-29.7384460927698,53,-29.7384460927698,1
68631.7884943001,-29.7317411687361,54,-29.7317411687361,1
68632.7884943001,-29.7250362447017,55,-29.7250362447017,1
68633.7884943001,-29.7183313206681,56,-29.7183313206681,1
68634.7884943001,-29.7116263966338,57,-29.7116263966338,1
68635.7884943001,-29.7049214726001,58,-29.7049214726001,1
68636.7884943001,-29.6982165485659,59,-29.6982165485659,1
68637.7884943001,-29.6915116245322,60,-29.6915116245322,1
68638.7884943001,-29.6848067004984,61,-29.6848067004984,1
68639.7884943001,-29.6781017764642,62,-29.6781017764642,1
68640.7884943001,-29.6713968524305,63,-29.6713968524305,1
68641.7884943001,-29.6646919283963,64,-29.6646919283963,1
68642.7884943001,-29.6579870043626,65,-29.6579870043626,1
68643.7884943001,-29.6512710568397,66,-29.6512710568397,1
68644.7884943001,-29.6416114220629,67,-29.6416114220629,1
68645.7884943001,-29.6319517872854,68,-29.6319517872854,1
68646.7884943001,-29.6222921525087,69,-29.6222921525087,1
68647.7884943001,-29.6126325177311,70,-29.6126325177311,1
68648.7884943001,-29.6029728829545,71,-29.6029728829545,1
68649.7884943001,-29.5933132481769,72,-29.5933132481769,1
68650.7884943001,-29.5836536134002,73,-29.5836536134002,1
68651.7884943001,-29.5739939786225,74,-29.5739939786225,1
68652.7884943001,-29.5643343438459,75,-29.5643343438459,1
68653.7884943001,-29.5546747090683,76,-29.5546747090683,1
68654.7884943001,-29.5450150742916,77,-29.5450150742916,1
68655.7884943001,-29.5353554395141,78,-29.5353554395141,1
68656.7884943001,-29.5256958047374,79,-29.5256958047374,1
68657.7884943001,-29.5160361699597,80,-29.5160361699597,1
68658.7884943001,-29.506376535183,81,-29.506376535183,1
68659.7884943001,-29.4967169004055,82,-29.4967169004055,1
68660.7884943001,-29.4870572656288,83,-29.4870572656288,1
68661.7884943001,-29.4773976308512,84,-29.4773976308512,1
68662.7884943001,-29.4677379960746,85,-29.4677379960746,1
68663.7884943001,-29.4580783612978,86,-29.4580783612978,1
68664.7884943001,-29.4484187265202,87,-29.4484187265202,1
68665.7884943001,-29.4387590917436,88,-29.4387590917436,1
68666.7884943001,-29.429099456966,89,-29.429099456966,1
68667.7884943001,-29.4194398221894,90,-29.4194398221894,1
68668.7884943001,-29.4097801874117,91,-29.4097801874117,1
68669.7884943001,-29.4001205526342,92,-29.4001205526342,1
68670.7884943001,-29.3904609178574,93,-29.3904609178574,1
68671.7884943001,-29.3808012830808,94,-29.3808012830808,1
68672.7884943001,-29.3711416483031,95,-29.3711416483031,1
68673.7884943001,-29.3614820135265,96,-29.3614820135265,1
68674.7884943001,-29.3518223787489,97,-29.3518223787489,1
68675.7884943001,-29.3421627439723,98,-29.3421627439723,1
68676.7884943001,-29.3325031091945,99,-29.3325031091945,1
68677.7884943001,-29.3228434744179,100,-29.3228434744179,1
68678.7884943001,-29.3131838396403,101,-29.3131838396403,1
68679.7884943001,-29.3035242048637,102,-29.3035242048637,1
68680.7884943001,-29.2938645700861,103,-29.2938645700861,1
68681.7884943001,-29.2842049353095,104,-29.2842049353095,1
68682.7884943001,-29.2745453005317,105,-29.2745453005317,1
68683.7884943001,-29.2648856657551,106,-29.2648856657551,1
68684.7884943001,-29.2552260309775,107,-29.2552260309775,1
68685.7884943001,-29.2455663962009,108,-29.2455663962009,1
68686.7884943001,-29.2359067614232,109,-29.2359067614232,1
68687.7884943001,-29.2262471266467,110,-29.2262471266467,1
68688.7884943001,-29.2165874918698,111,-29.2165874918698,1
68689.7884943001,-29.2069278570923,112,-29.2069278570923,1
68690.7884943001,-29.1972682223146,113,-29.1972682223146,1
68691.7884943001,-29.187608587538,114,-29.187608587538,1
68692.7884943001,-29.1779489527604,115,-29.1779489527604,1
68693.7884943001,-29.1682893179838,116,-29.1682893179838,1
68694.7884943001,-29.1586296832062,117,-29.1586296832062,1
68695.7884943001,-29.1489700484294,118,-29.1489700484294,1
68696.7884943001,-29.1393104136528,119,-29.1393104136528,1
68697.7884943001,-29.1296507788752,120,-29.1296507788752,1
68698.7884943001,-29.1199911440985,121,-29.1199911440985,1
68699.7884943001,-29.110331509321,122,-29.110331509321,1
68700.7884943001,-29.1006718745443,123,-29.1006718745443,1
68701.7884943001,-29.0910122397666,124,-29.0910122397666,1
68702.7884943001,-29.08135260499,125,-29.08135260499,1
68703.7884943001,-29.0716929702124,126,-29.0716929702124,1
68704.7884943001,-29.0620333354358,127,-29.0620333354358,1
68705.7884943001,-29.0523737006581,128,-29.0523737006581,1
68706.7884943001,-29.0427140658816,129,-29.0427140658816,1
68707.7884943001,-29.0330544311039,130,-29.0330544311039,1
68708.7884943001,-29.0233947963272,131,-29.0233947963272,1
68709.7884943001,-29.0137351615495,132,-29.0137351615495,1
68710.7884943001,-29.004075526773,133,-29.004075526773,1
68711.7884943001,-28.9944158919953,134,-28.9944158919953,1
68712.7884943001,-28.9847562572187,135,-28.9847562572187,1
68713.7884943001,-28.9750966224411,136,-28.9750966224411,1
68714.7884943001,-28.9654369876644,137,-28.9654369876644,1
68715.7884943001,-28.9557773528867,138,-28.9557773528867,1
68716.7884943001,-28.9461177181101,139,-28.9461177181101,1
68717.7884943001,-28.9364580833325,140,-28.9364580833325,1
68718.7884943001,-28.9268002600816,141,-28.9268002600816,1
68719.7884943001,-28.9173679074111,142,-28.9173679074111,1
68720.7884943001,-28.9079355547414,143,-28.9079355547414,1
68721.7884943001,-28.8985032020718,144,-28.8985032020718,1
68722.7884943001,-28.8890708494012,145,-28.8890708494012,1
68723.7884943001,-28.8796384967316,146,-28.8796384967316,1
68724.7884943001,-28.8702061440612,147,-28.8702061440612,1
68725.7884943001,-28.8607737913916,148,-28.8607737913916,1
68726.7884943001,-28.8513414387209,149,-28.8513414387209,1
68727.7884943001,-28.8419090860513,150,-28.8419090860513,1
68728.7884943001,-28.8324767333808,151,-28.8324767333808,1
68729.7884943001,-28.8230443807112,152,-28.8230443807112,1
68730.7884943001,-28.8136120280408,153,-28.8136120280408,1
68731.7884943001,-28.8041796753712,154,-28.8041796753712,1
68732.7884943001,-28.7947473227006,155,-28.7947473227006,1
68733.7884943001,-28.7853149700309,156,-28.7853149700309,1
68734.7884943001,-28.7758826173604,157,-28.7758826173604,1
68735.7884943001,-28.7664502646908,158,-28.7664502646908,1
68736.7884943001,-28.7570179120203,159,-28.7570179120203,1
68737.7884943001,-28.7475855593508,160,-28.7475855593508,1
68738.7884943001,-28.7381183522559,161,-28.7381183522559,1
68739.7884943001,-28.724856236691,162,-28.724856236691,1
68740.7884943001,-28.711594121125,163,-28.711594121125,1
68741.7884943001,-28.6983320055603,164,-28.6983320055603,1
68742.7884943001,-28.6850698899942,165,-28.6850698899942,1
68743.7884943001,-28.6718077744295,166,-28.6718077744295,1
68744.7884943001,-28.6585456588635,167,-28.6585456588635,1
68745.7884943001,-28.6452835432986,168,-28.6452835432986,1
68746.7884943001,-28.6320214277339,169,-28.6320214277339,1
68747.7884943001,-28.6187593121679,170,-28.6187593121679,1
68748.7884943001,-28.6054971966032,171,-28.6054971966032,1
68749.7884943001,-28.5922350810371,172,-28.5922350810371,1
68750.7884943001,-28.5789729654724,173,-28.5789729654724,1
68751.7884943001,-28.5657108499062,174,-28.5657108499062,1
68752.7884943001,-28.5524487343415,175,-28.5524487343415,1
68753.7884943001,-28.5391866187755,176,-28.5391866187755,1
68754.7884943001,-28.5259245032108,177,-28.5259245032108,1
68755.7884943001,-28.5126623876446,178,-28.5126623876446,1
68756.7884943001,-28.4994002720799,179,-28.4994002720799,1
68757.7884943001,-28.4861381565139,180,-28.4861381565139,1
68758.7884943001,-28.472876040949,181,-28.472876040949,1
68759.7884943001,-28.4596139253829,182,-28.4596139253829,1
68760.7884943001,-28.4463518098182,183,-28.4463518098182,1
68761.7884943001,-28.4330896942522,184,-28.4330896942522,1
68762.7884943001,-28.4198275786875,185,-28.4198275786875,1
68763.7884943001,-28.4065654631215,186,-28.4065654631215,1
68764.7884943001,-28.3933033475566,187,-28.3933033475566,1
68765.7884943001,-28.3800412319905,188,-28.3800412319905,1
68766.7884943001,-28.3667791164258,189,-28.3667791164258,1
68767.7884943001,-28.3535170008598,190,-28.3535170008598,1
68768.7884943001,-28.3402548852951,191,-28.3402548852951,1
68769.7884943001,-28.3269927697291,192,-28.3269927697291,1
68770.7884943001,-28.3137306541642,193,-28.3137306541642,1
68771.7884943001,-28.3004685385995,194,-28.3004685385995,1
68772.7884943001,-28.2872064230334,195,-28.2872064230334,1
68773.7884943001,-28.2739443074687,196,-28.2739443074687,1
68774.7884943001,-28.2606821919027,197,-28.2606821919027,1
68775.7884943001,-28.247420076338,198,-28.247420076338,1
68776.7884943001,-28.2341579607717,199,-28.2341579607717,1
68777.7884943001,-28.220895845207,200,-28.220895845207,1
68778.7884943001,-28.207633729641,201,-28.207633729641,1
68779.7884943001,-28.1943716140763,202,-28.1943716140763,1
68780.7884943001,-28.1811094985103,203,-28.1811094985103,1
68781.7884943001,-28.1678473829456,204,-28.1678473829456,1
68782.7884943001,-28.1545852673795,205,-28.1545852673795,1
68783.7884943001,-28.1413231518146,206,-28.1413231518146,1
68784.7884943001,-28.1280610362486,207,-28.1280610362486,1
68785.7884943001,-28.1147989206839,208,-28.1147989206839,1
68786.7884943001,-28.1015368051179,209,-28.1015368051179,1
68787.7884943001,-28.0882746895531,210,-28.0882746895531,1
68788.7884943001,-28.0750125739871,211,-28.0750125739871,1
68789.7884943001,-28.0617504584221,212,-28.0617504584221,1
68790.7884943001,-28.0484883428561,213,-28.0484883428561,1
68791.7884943001,-28.0352262272914,214,-28.0352262272914,1
68792.7884943001,-28.0219641117253,215,-28.0219641117253,1
68793.7884943001,-28.0087291926013,216,-28.0087291926013,1
68794.7884943001,-27.9976944767992,217,-27.9976944767992,1
68795.7884943001,-27.986659760998,218,-27.986659760998,1
68796.7884943001,-27.975625045197,219,-27.975625045197,1
68797.7884943001,-27.9645903293948,220,-27.9645903293948,1
68798.7884943001,-27.9535556135937,221,-27.9535556135937,1
68799.7884943001,-27.9425208977916,222,-27.9425208977916,1
68800.7884943001,-27.9314861819895,223,-27.9314861819895,1
68801.7884943001,-27.9204514661884,224,-27.9204514661884,1
68802.7884943001,-27.9094167503873,225,-27.9094167503873,1
68803.7884943001,-27.8983820345851,226,-27.8983820345851,1
68804.7884943001,-27.8873473187841,227,-27.8873473187841,1
68805.7884943001,-27.876312602982,228,-27.876312602982,1
68806.7884943001,-27.865277887181,229,-27.865277887181,1
68807.7884943001,-27.8542431713788,230,-27.8542431713788,1
68808.7884943001,-27.8432084555776,231,-27.8432084555776,1
68809.7884943001,-27.8321737397755,232,-27.8321737397755,1
68810.7884943001,-27.8211390239744,233,-27.8211390239744,1
68811.7884943001,-27.8101043081723,234,-27.8101043081723,1
68812.7884943001,-27.7990695923713,235,-27.7990695923713,1
68813.7884943001,-27.7880416988136,236,-27.7880416988136,1
68814.7884943001,-27.7775183764236,237,-27.7775183764236,1
68815.7884943001,-27.7669950540326,238,-27.7669950540326,1
68816.7884943001,-27.7564717316428,239,-27.7564717316428,1
68817.7884943001,-27.7459484092517,240,-27.7459484092517,1
68818.7884943001,-27.7354250868618,241,-27.7354250868618,1
68819.7884943001,-27.7249017644709,242,-27.7249017644709,1
68820.7884943001,-27.7143784420809,243,-27.7143784420809,1
68821.7884943001,-27.7038551196899,244,-27.7038551196899,1
68822.7884943001,-27.6933317973,245,-27.6933317973,1
68823.7884943001,-27.682808474909,246,-27.682808474909,1
68824.7884943001,-27.6722851525191,247,-27.6722851525191,1
68825.7884943001,-27.6617618301282,248,-27.6617618301282,1
68826.7884943001,-27.6512385077382,249,-27.6512385077382,1
68827.7884943001,-27.6407151853482,250,-27.6407151853482,1
68828.7884943001,-27.6301918629573,251,-27.6301918629573,1
68829.7884943001,-27.6196685405674,252,-27.6196685405674,1
68830.7884943001,-27.6091452181765,253,-27.6091452181765,1
68831.7884943001,-27.5986218957866,254,-27.5986218957866,1
68832.7884943001,-27.5880985733955,255,-27.5880985733955,1
68833.7884943001,-27.5775752510055,256,-27.5775752510055,1
68834.7884943001,-27.5670519286146,257,-27.5670519286146,1
68835.7884943001,-27.5565286062247,258,-27.5565286062247,1
68836.7884943001,-27.5460052838337,259,-27.5460052838337,1
68837.7884943001,-27.5354819614438,260,-27.5354819614438,1
68838.7884943001,-27.5249586390528,261,-27.5249586390528,1
68839.7884943001,-27.5144353166628,262,-27.5144353166628,1
68840.7884943001,-27.5039119942719,263,-27.5039119942719,1
68841.7884943001,-27.493388671882,264,-27.493388671882,1
68842.7884943001,-27.4828653494909,265,-27.4828653494909,1
68843.7884943001,-27.472342027101,266,-27.472342027101,1
68844.7884943001,-27.4618187047101,267,-27.4618187047101,1
68845.7884943001,-27.4512953823201,268,-27.4512953823201,1
68846.7884943001,-27.4407720599292,269,-27.4407720599292,1
68847.7884943001,-27.4302487375392,270,-27.4302487375392,1
68848.7884943001,-27.4197254151482,271,-27.4197254151482,1
68849.7884943001,-27.4092020927583,272,-27.4092020927583,1
68850.7884943001,-27.3986787703674,273,-27.3986787703674,1
68851.7884943001,-27.3881554479774,274,-27.3881554479774,1
68852.7884943001,-27.3776321255874,275,-27.3776321255874,1
68853.7884943001,-27.3671088031965,276,-27.3671088031965,1
68854.7884943001,-27.3565854808066,277,-27.3565854808066,1
68855.7884943001,-27.3460621584157,278,-27.3460621584157,1
68856.7884943001,-27.3355388360258,279,-27.3355388360258,1
68857.7884943001,-27.3250155136347,280,-27.3250155136347,1
68858.7884943001,-27.3144921912447,281,-27.3144921912447,1
68859.7884943001,-27.3039688688538,282,-27.3039688688538,1
68860.7884943001,-27.2934455464639,283,-27.2934455464639,1
68861.7884943001,-27.282922224073,284,-27.282922224073,1
68862.7884943001,-27.272398901683,285,-27.272398901683,1
68863.7884943001,-27.261875579292,286,-27.261875579292,1
68864.7884943001,-27.251352256902,287,-27.251352256902,1
68865.7884943001,-27.2408289345111,288,-27.2408289345111,1
68866.7884943001,-27.2303056121212,289,-27.2303056121212,1
68867.7884943001,-27.2197822897302,290,-27.2197822897302,1
68868.7884943001,-27.2092471903318,291,-27.2092471903318,1
68869.7884943001,-27.1980079193328,292,-27.1980079193328,1
68870.7884943001,-27.1867686483347,293,-27.1867686483347,1
68871.7884943001,-27.1755293773356,294,-27.1755293773356,1
68872.7884943001,-27.1642901063377,295,-27.1642901063377,1
68873.7884943001,-27.1530508353387,296,-27.1530508353387,1
68874.7884943001,-27.1418115643408,297,-27.1418115643408,1
68875.7884943001,-27.1305722933417,298,-27.1305722933417,1
68876.7884943001,-27.1193330223437,299,-27.1193330223437,1
68877.7884943001,-27.1080937513457,300,-27.1080937513457,1
68878.7884943001,-27.0968544803467,301,-27.0968544803467,1
68879.7884943001,-27.0856152093488,302,-27.0856152093488,1
68880.7884943001,-27.0743759383498,303,-27.0743759383498,1
68881.7884943001,-27.0631366673518,304,-27.0631366673518,1
68882.7884943001,-27.0518973963527,305,-27.0518973963527,1
68883.7884943001,-27.0406581253547,306,-27.0406581253547,1
68884.7884943001,-27.0294188543556,307,-27.0294188543556,1
68885.7884943001,-27.0181795833577,308,-27.0181795833577,1
68886.7884943001,-27.0069403123587,309,-27.0069403123587,1
68887.7884943001,-26.9957010413608,310,-26.9957010413608,1
68888.7884943001,-26.9844517811223,311,-26.9844517811223,1
68889.7884943001,-26.9726442961864,312,-26.9726442961864,1
68890.7884943001,-26.9608368112493,313,-26.9608368112493,1
68891.7884943001,-26.9490293263135,314,-26.9490293263135,1
68892.7884943001,-26.9372218413766,315,-26.9372218413766,1
68893.7884943001,-26.9254143564407,316,-26.9254143564407,1
68894.7884943001,-26.9136068715037,317,-26.9136068715037,1
68895.7884943001,-26.9017993865678,318,-26.9017993865678,1
68896.7884943001,-26.8899919016307,319,-26.8899919016307,1
68897.7884943001,-26.8781844166949,320,-26.8781844166949,1
68898.7884943001,-26.8663769317579,321,-26.8663769317579,1
68899.7884943001,-26.8545694468221,322,-26.8545694468221,1
68900.7884943001,-26.8427619618852,323,-26.8427619618852,1
68901.7884943001,-26.8309544769491,324,-26.8309544769491,1
68902.7884943001,-26.8191469920133,325,-26.8191469920133,1
68903.7884943001,-26.8073395070764,326,-26.8073395070764,1
68904.7884943001,-26.7955320221405,327,-26.7955320221405,1
68905.7884943001,-26.7837245372036,328,-26.7837245372036,1
68906.7884943001,-26.7719170522677,329,-26.7719170522677,1
68907.7884943001,-26.7601095673307,330,-26.7601095673307,1
68908.7884943001,-26.7483020823948,331,-26.7483020823948,1
68909.7884943001,-26.7364945974577,332,-26.7364945974577,1
68910.7884943001,-26.7246871125219,333,-26.7246871125219,1
68911.7884943001,-26.712879627585,334,-26.712879627585,1
68912.7884943001,-26.7010721426491,335,-26.7010721426491,1
68913.7884943001,-26.6892646577121,336,-26.6892646577121,1
68914.7884943001,-26.6774571727762,337,-26.6774571727762,1
68915.7884943001,-26.6656496878391,338,-26.6656496878391,1
68916.7884943001,-26.6538422029033,339,-26.6538422029033,1
68917.7884943001,-26.6420347179663,340,-26.6420347179663,1
68918.7884943001,-26.6302272330305,341,-26.6302272330305,1
68919.7884943001,-26.6184197480935,342,-26.6184197480935,1
68920.7884943001,-26.6066122631575,343,-26.6066122631575,1
68921.7884943001,-26.5948047782205,344,-26.5948047782205,1
68922.7884943001,-26.5829972932848,345,-26.5829972932848,1
68923.7884943001,-26.5711898083477,346,-26.5711898083477,1
68924.7884943001,-26.5593823234119,347,-26.5593823234119,1
68925.7884943001,-26.5475748384749,348,-26.5475748384749,1
68926.7884943001,-26.5357673535391,349,-26.5357673535391,1
68927.7884943001,-26.523959868602,350,-26.523959868602,1
68928.7884943001,-26.5121523836661,351,-26.5121523836661,1
68929.7884943001,-26.5003448987303,352,-26.5003448987303,1
68930.7884943001,-26.4885374137933,353,-26.4885374137933,1
68931.7884943001,-26.4767299288563,354,-26.4767299288563,1
68932.7884943001,-26.4649224439205,355,-26.4649224439205,1
68933.7884943001,-26.4531149589846,356,-26.4531149589846,1
68934.7884943001,-26.4413074740475,357,-26.4413074740475,1
68935.7884943001,-26.4294999891117,358,-26.4294999891117,1
68936.7884943001,-26.4176925041747,359,-26.4176925041747,1
68937.7884943001,-26.4058850192389,360,-26.4058850192389,1
68938.7884943001,-26.3940775343019,361,-26.3940775343019,1
68939.7884943001,-26.3822700493659,362,-26.3822700493659,1
