Time,Var1
0,-0.8
3600,0.24
7200,1.21
10800,1.84
14400,1.99
18000,1.69
21600,1.08
25200,0.25
28800,-0.69
32400,-1.51
36000,-1.9
39600,-1.66
43200,-0.87
46800,0.2
50400,1.25
54000,1.98
57600,2.23
61200,2.03
64800,1.47
68400,0.66
72000,-0.33
75600,-1.31
79200,-1.94
82800,-1.99
86400,-1.42
90000,-0.46
93600,0.6
97200,1.47
100800,1.93
104400,1.9
108000,1.49
111600,0.82
115200,-0.05
118800,-0.99
122400,-1.7
126000,-1.89
129600,-1.42
133200,-0.49
136800,0.6
140400,1.54
144000,2.09
147600,2.17
151200,1.84
154800,1.23
158400,0.37
