z,x,dist,ne
-30.0798704355812,67991.7884943001,0,1
-30.0705033446564,67992.7884943001,1,1
-30.0611362537316,67993.7884943001,2,1
-30.0517691628067,67994.7884943001,3,1
-30.0424020718819,67995.7884943001,4,1
-30.0330349809571,67996.7884943001,5,1
-30.0236678900323,67997.7884943001,6,1
-30.0143007991075,67998.7884943001,7,1
-30.0049337081827,67999.7884943001,8,1
-29.9955666172579,68000.7884943001,9,1
-29.986199526333,68001.7884943001,10,1
-29.9768324354082,68002.7884943001,11,1
-29.9674653444834,68003.7884943001,12,1
-29.9580982535586,68004.7884943001,13,1
-29.9487311626338,68005.7884943001,14,1
-29.939364071709,68006.7884943001,15,1
-29.9299969807842,68007.7884943001,16,1
-29.9206298898593,68008.7884943001,17,1
-29.9112627989345,68009.7884943001,18,1
-29.9018957080097,68010.7884943001,19,1
-29.8925286170849,68011.7884943001,20,1
-29.8831615261601,68012.7884943001,21,1
-29.8737944352353,68013.7884943001,22,1
-29.8644273443105,68014.7884943001,23,1
-29.8550602533856,68015.7884943001,24,1
-29.8456931624608,68016.7884943001,25,1
-29.836326071536,68017.7884943001,26,1
-29.8269589806112,68018.7884943001,27,1
-29.8175918896864,68019.7884943001,28,1
-29.8082247987616,68020.7884943001,29,1
-29.7988577078368,68021.7884943001,30,1
-29.7894906169119,68022.7884943001,31,1
-29.7801235259871,68023.7884943001,32,1
-29.7707564350623,68024.7884943001,33,1
-29.7613893441375,68025.7884943001,34,1
-29.7520222532127,68026.7884943001,35,1
-29.7426551622879,68027.7884943001,36,1
-29.7332880713631,68028.7884943001,37,1
-29.7239209804383,68029.7884943001,38,1
-29.7145538895134,68030.7884943001,39,1
-29.7051867985886,68031.7884943001,40,1
-29.6958197076638,68032.7884943001,41,1
-29.686452616739,68033.7884943001,42,1
-29.6770855258142,68034.7884943001,43,1
-29.6677184348894,68035.7884943001,44,1
-29.6583513439646,68036.7884943001,45,1
-29.6489842530397,68037.7884943001,46,1
-29.6396171621149,68038.7884943001,47,1
-29.6302500711901,68039.7884943001,48,1
-29.6208829802653,68040.7884943001,49,1
-29.6115158893405,68041.7884943001,50,1
-29.6021487984157,68042.7884943001,51,1
-29.5927817074909,68043.7884943001,52,1
-29.583414616566,68044.7884943001,53,1
-29.5740475256412,68045.7884943001,54,1
-29.5646804347164,68046.7884943001,55,1
-29.5553133437916,68047.7884943001,56,1
-29.5459462528668,68048.7884943001,57,1
-29.536579161942,68049.7884943001,58,1
-29.5272120710172,68050.7884943001,59,1
-29.5178449800923,68051.7884943001,60,1
-29.5084778891675,68052.7884943001,61,1
-29.4991107982427,68053.7884943001,62,1
-29.4897437073179,68054.7884943001,63,1
-29.4803766163931,68055.7884943001,64,1
-29.4710095254683,68056.7884943001,65,1
-29.4616424345435,68057.7884943001,66,1
-29.4522753436186,68058.7884943001,67,1
-29.4429082526938,68059.7884943001,68,1
-29.433541161769,68060.7884943001,69,1
-29.4241740708442,68061.7884943001,70,1
-29.4148069799194,68062.7884943001,71,1
-29.4054398889946,68063.7884943001,72,1
-29.3960727980698,68064.7884943001,73,1
-29.386705707145,68065.7884943001,74,1
-29.3773386162201,68066.7884943001,75,1
-29.3679715252953,68067.7884943001,76,1
-29.3586044343705,68068.7884943001,77,1
-29.3492373434457,68069.7884943001,78,1
-29.3398702525209,68070.7884943001,79,1
-29.3305031615961,68071.7884943001,80,1
-29.3211360706713,68072.7884943001,81,1
-29.3117689797464,68073.7884943001,82,1
-29.3024018888216,68074.7884943001,83,1
-29.2930347978968,68075.7884943001,84,1
-29.283667706972,68076.7884943001,85,1
-29.2743006160472,68077.7884943001,86,1
-29.2649335251224,68078.7884943001,87,1
-29.2555664341976,68079.7884943001,88,1
-29.2461993432727,68080.7884943001,89,1
-29.2368322523479,68081.7884943001,90,1
-29.2274651614231,68082.7884943001,91,1
-29.2180980704983,68083.7884943001,92,1
-29.2087309795735,68084.7884943001,93,1
-29.1993638886487,68085.7884943001,94,1
-29.1899967977239,68086.7884943001,95,1
-29.180629706799,68087.7884943001,96,1
-29.1712626158742,68088.7884943001,97,1
-29.1618955249494,68089.7884943001,98,1
-29.1525284340246,68090.7884943001,99,1
-29.1431613430998,68091.7884943001,100,1
-29.133794252175,68092.7884943001,101,1
-29.1244271612502,68093.7884943001,102,1
-29.1150600703253,68094.7884943001,103,1
-29.1056929794005,68095.7884943001,104,1
-29.0963258884757,68096.7884943001,105,1
-29.0869587975509,68097.7884943001,106,1
-29.0775917066261,68098.7884943001,107,1
-29.0682246157013,68099.7884943001,108,1
-29.0588575247765,68100.7884943001,109,1
-29.0494904338517,68101.7884943001,110,1
-29.0401233429268,68102.7884943001,111,1
-29.030756252002,68103.7884943001,112,1
-29.0213891610772,68104.7884943001,113,1
-29.0120220701524,68105.7884943001,114,1
-29.0026549792276,68106.7884943001,115,1
-28.9932878883028,68107.7884943001,116,1
-28.983920797378,68108.7884943001,117,1
-28.9745537064531,68109.7884943001,118,1
-28.9651866155283,68110.7884943001,119,1
-28.9558195246035,68111.7884943001,120,1
-28.9464524336787,68112.7884943001,121,1
-28.9370853427539,68113.7884943001,122,1
-28.9277182518291,68114.7884943001,123,1
-28.9183511609043,68115.7884943001,124,1
-28.9089840699794,68116.7884943001,125,1
-28.8996169790546,68117.7884943001,126,1
-28.8902498881298,68118.7884943001,127,1
-28.880882797205,68119.7884943001,128,1
-28.8715157062802,68120.7884943001,129,1
-28.8621486153554,68121.7884943001,130,1
-28.8527815244306,68122.7884943001,131,1
-28.8434144335057,68123.7884943001,132,1
-28.8340473425809,68124.7884943001,133,1
-28.8246802516561,68125.7884943001,134,1
-28.8153131607313,68126.7884943001,135,1
-28.8059460698065,68127.7884943001,136,1
-28.7965789788817,68128.7884943001,137,1
-28.7872118879569,68129.7884943001,138,1
-28.777844797032,68130.7884943001,139,1
-28.7684777061072,68131.7884943001,140,1
-28.7591106151824,68132.7884943001,141,1
-28.7497435242576,68133.7884943001,142,1
-28.7403764333328,68134.7884943001,143,1
-28.731009342408,68135.7884943001,144,1
-28.7216422514832,68136.7884943001,145,1
-28.7122751605583,68137.7884943001,146,1
-28.7029080696335,68138.7884943001,147,1
-28.6935409787087,68139.7884943001,148,1
-28.6841738877839,68140.7884943001,149,1
-28.6748067968591,68141.7884943001,150,1
-28.6654397059343,68142.7884943001,151,1
-28.6560726150095,68143.7884943001,152,1
-28.6467055240847,68144.7884943001,153,1
-28.6373384331598,68145.7884943001,154,1
-28.627971342235,68146.7884943001,155,1
-28.6186042513102,68147.7884943001,156,1
-28.6092371603854,68148.7884943001,157,1
-28.5998700694606,68149.7884943001,158,1
-28.5905029785358,68150.7884943001,159,1
-28.581135887611,68151.7884943001,160,1
-28.5717687966861,68152.7884943001,161,1
-28.5624017057613,68153.7884943001,162,1
-28.5530346148365,68154.7884943001,163,1
-28.5436675239117,68155.7884943001,164,1
-28.5343004329869,68156.7884943001,165,1
-28.5249333420621,68157.7884943001,166,1
-28.5155662511373,68158.7884943001,167,1
-28.5061991602124,68159.7884943001,168,1
-28.4968320692876,68160.7884943001,169,1
-28.4874649783628,68161.7884943001,170,1
-28.478097887438,68162.7884943001,171,1
-28.4687307965132,68163.7884943001,172,1
-28.4593637055884,68164.7884943001,173,1
-28.4499966146636,68165.7884943001,174,1
-28.4406295237387,68166.7884943001,175,1
-28.4312624328139,68167.7884943001,176,1
-28.4218953418891,68168.7884943001,177,1
-28.4125282509643,68169.7884943001,178,1
-28.4031611600395,68170.7884943001,179,1
-28.3937940691147,68171.7884943001,180,1
-28.3844269781899,68172.7884943001,181,1
-28.375059887265,68173.7884943001,182,1
-28.3656927963402,68174.7884943001,183,1
-28.3563257054154,68175.7884943001,184,1
-28.3469586144906,68176.7884943001,185,1
-28.3375915235658,68177.7884943001,186,1
-28.328224432641,68178.7884943001,187,1
-28.3188573417162,68179.7884943001,188,1
-28.3094902507914,68180.7884943001,189,1
-28.3001231598665,68181.7884943001,190,1
-28.2907560689417,68182.7884943001,191,1
-28.2813889780169,68183.7884943001,192,1
-28.2720218870921,68184.7884943001,193,1
-28.2626547961673,68185.7884943001,194,1
-28.2532877052425,68186.7884943001,195,1
-28.2439206143177,68187.7884943001,196,1
-28.2345535233928,68188.7884943001,197,1
-28.225186432468,68189.7884943001,198,1
-28.2158193415432,68190.7884943001,199,1
-28.2064522506184,68191.7884943001,200,1
-28.1970851596936,68192.7884943001,201,1
-28.1877180687688,68193.7884943001,202,1
-28.178350977844,68194.7884943001,203,1
-28.1689838869191,68195.7884943001,204,1
-28.1596167959943,68196.7884943001,205,1
-28.1502497050695,68197.7884943001,206,1
-28.1408826141447,68198.7884943001,207,1
-28.1315155232199,68199.7884943001,208,1
-28.1221484322951,68200.7884943001,209,1
-28.1127813413703,68201.7884943001,210,1
-28.1034142504454,68202.7884943001,211,1
-28.0940471595206,68203.7884943001,212,1
-28.0846800685958,68204.7884943001,213,1
-28.075312977671,68205.7884943001,214,1
-28.0659458867462,68206.7884943001,215,1
-28.0565787958214,68207.7884943001,216,1
-28.0472117048966,68208.7884943001,217,1
-28.0378446139717,68209.7884943001,218,1
-28.0284775230469,68210.7884943001,219,1
-28.0191104321221,68211.7884943001,220,1
-28.0097433411973,68212.7884943001,221,1
-28.0003762502725,68213.7884943001,222,1
-27.9910091593477,68214.7884943001,223,1
-27.9816420684229,68215.7884943001,224,1
-27.972274977498,68216.7884943001,225,1
-27.9629078865732,68217.7884943001,226,1
-27.9535407956484,68218.7884943001,227,1
-27.9441737047236,68219.7884943001,228,1
-27.9348066137988,68220.7884943001,229,1
-27.925439522874,68221.7884943001,230,1
-27.9160724319492,68222.7884943001,231,1
-27.9067053410244,68223.7884943001,232,1
-27.8973382500995,68224.7884943001,233,1
-27.8879711591747,68225.7884943001,234,1
-27.8786040682499,68226.7884943001,235,1
-27.8692369773251,68227.7884943001,236,1
-27.8598698864003,68228.7884943001,237,1
-27.8505027954755,68229.7884943001,238,1
-27.8411357045507,68230.7884943001,239,1
-27.8317686136258,68231.7884943001,240,1
-27.822401522701,68232.7884943001,241,1
-27.8130344317762,68233.7884943001,242,1
-27.8036673408514,68234.7884943001,243,1
-27.7943002499266,68235.7884943001,244,1
-27.7849331590018,68236.7884943001,245,1
-27.775566068077,68237.7884943001,246,1
-27.7661989771521,68238.7884943001,247,1
-27.7568318862273,68239.7884943001,248,1
-27.7474647953025,68240.7884943001,249,1
-27.7380977043777,68241.7884943001,250,1
-27.7287306134529,68242.7884943001,251,1
-27.7193635225281,68243.7884943001,252,1
-27.7099964316033,68244.7884943001,253,1
-27.7006293406784,68245.7884943001,254,1
-27.6912622497536,68246.7884943001,255,1
-27.6818951588288,68247.7884943001,256,1
-27.672528067904,68248.7884943001,257,1
-27.6631609769792,68249.7884943001,258,1
-27.6537938860544,68250.7884943001,259,1
-27.6444267951296,68251.7884943001,260,1
-27.6350597042047,68252.7884943001,261,1
-27.6256926132799,68253.7884943001,262,1
-27.6163255223551,68254.7884943001,263,1
-27.6069584314303,68255.7884943001,264,1
-27.5975913405055,68256.7884943001,265,1
-27.5882242495807,68257.7884943001,266,1
-27.5788571586559,68258.7884943001,267,1
-27.5694900677311,68259.7884943001,268,1
-27.5601229768062,68260.7884943001,269,1
-27.5507558858814,68261.7884943001,270,1
-27.5413887949566,68262.7884943001,271,1
-27.5320217040318,68263.7884943001,272,1
-27.522654613107,68264.7884943001,273,1
-27.5132875221822,68265.7884943001,274,1
-27.5039204312574,68266.7884943001,275,1
-27.4945533403325,68267.7884943001,276,1
-27.4851862494077,68268.7884943001,277,1
-27.4758191584829,68269.7884943001,278,1
-27.4664520675581,68270.7884943001,279,1
-27.4570849766333,68271.7884943001,280,1
-27.4477178857085,68272.7884943001,281,1
-27.4383507947837,68273.7884943001,282,1
-27.4289837038588,68274.7884943001,283,1
-27.419616612934,68275.7884943001,284,1
-27.4102495220092,68276.7884943001,285,1
-27.4008824310844,68277.7884943001,286,1
-27.3915153401596,68278.7884943001,287,1
-27.3821482492348,68279.7884943001,288,1
-27.37278115831,68280.7884943001,289,1
-27.3634140673851,68281.7884943001,290,1
-27.3540469764603,68282.7884943001,291,1
-27.3446798855355,68283.7884943001,292,1
-27.3353127946107,68284.7884943001,293,1
-27.3259457036859,68285.7884943001,294,1
-27.3165786127611,68286.7884943001,295,1
-27.3072115218363,68287.7884943001,296,1
-27.2978444309115,68288.7884943001,297,1
-27.2884773399866,68289.7884943001,298,1
-27.2791102490618,68290.7884943001,299,1
-27.269743158137,68291.7884943001,300,1
-27.2603760672122,68292.7884943001,301,1
-27.2510089762874,68293.7884943001,302,1
-27.2416418853626,68294.7884943001,303,1
-27.2322747944377,68295.7884943001,304,1
-27.2229077035129,68296.7884943001,305,1
-27.2135406125881,68297.7884943001,306,1
-27.2041735216633,68298.7884943001,307,1
-27.1948064307385,68299.7884943001,308,1
-27.1854393398137,68300.7884943001,309,1
-27.1760722488889,68301.7884943001,310,1
-27.1667051579641,68302.7884943001,311,1
-27.1573380670392,68303.7884943001,312,1
-27.1479709761144,68304.7884943001,313,1
-27.1386038851896,68305.7884943001,314,1
-27.1292367942648,68306.7884943001,315,1
-27.11986970334,68307.7884943001,316,1
-27.1105026124152,68308.7884943001,317,1
-27.1011355214904,68309.7884943001,318,1
-27.0917684305655,68310.7884943001,319,1
-27.0824013396407,68311.7884943001,320,1
-27.0730342487159,68312.7884943001,321,1
-27.0636671577911,68313.7884943001,322,1
-27.0543000668663,68314.7884943001,323,1
-27.0449329759415,68315.7884943001,324,1
-27.0355658850167,68316.7884943001,325,1
-27.0261987940918,68317.7884943001,326,1
-27.016831703167,68318.7884943001,327,1
-27.0074646122422,68319.7884943001,328,1
-26.9980975213174,68320.7884943001,329,1
-26.9887304303926,68321.7884943001,330,1
-26.9793633394678,68322.7884943001,331,1
-26.969996248543,68323.7884943001,332,1
-26.9606291576181,68324.7884943001,333,1
-26.9512620666933,68325.7884943001,334,1
-26.9418949757685,68326.7884943001,335,1
-26.9325278848437,68327.7884943001,336,1
-26.9231607939189,68328.7884943001,337,1
-26.9137937029941,68329.7884943001,338,1
-26.9044266120693,68330.7884943001,339,1
-26.8950595211445,68331.7884943001,340,1
-26.8856924302196,68332.7884943001,341,1
-26.8763253392948,68333.7884943001,342,1
-26.86695824837,68334.7884943001,343,1
-26.8575911574452,68335.7884943001,344,1
-26.8482240665204,68336.7884943001,345,1
-26.8388569755956,68337.7884943001,346,1
-26.8294898846708,68338.7884943001,347,1
-26.8201227937459,68339.7884943001,348,1
-26.8107557028211,68340.7884943001,349,1
-26.8013886118963,68341.7884943001,350,1
-26.7920215209715,68342.7884943001,351,1
-26.7826544300467,68343.7884943001,352,1
-26.7732873391219,68344.7884943001,353,1
-26.7639202481971,68345.7884943001,354,1
-26.7545531572722,68346.7884943001,355,1
-26.7451860663474,68347.7884943001,356,1
-26.7358189754226,68348.7884943001,357,1
-26.7264518844978,68349.7884943001,358,1
-26.717084793573,68350.7884943001,359,1
-26.7077177026482,68351.7884943001,360,1
-26.6983506117234,68352.7884943001,361,1
-26.6889835207985,68353.7884943001,362,1
-26.6796164298737,68354.7884943001,363,1
-26.6702493389489,68355.7884943001,364,1
-26.6608822480241,68356.7884943001,365,1
-26.6515151570993,68357.7884943001,366,1
-26.6421480661745,68358.7884943001,367,1
-26.6327809752497,68359.7884943001,368,1
-26.6234138843248,68360.7884943001,369,1
-26.6140467934,68361.7884943001,370,1
-26.6046797024752,68362.7884943001,371,1
-26.5953126115504,68363.7884943001,372,1
-26.5859455206256,68364.7884943001,373,1
-26.5765784297008,68365.7884943001,374,1
-26.567211338776,68366.7884943001,375,1
-26.5578442478512,68367.7884943001,376,1
-26.5484771569263,68368.7884943001,377,1
-26.5391100660015,68369.7884943001,378,1
-26.5297429750767,68370.7884943001,379,1
-26.5203758841519,68371.7884943001,380,1
-26.5110087932271,68372.7884943001,381,1
-26.5016417023023,68373.7884943001,382,1
-26.4922746113775,68374.7884943001,383,1
-26.4829075204526,68375.7884943001,384,1
-26.4735404295278,68376.7884943001,385,1
-26.464173338603,68377.7884943001,386,1
-26.4548062476782,68378.7884943001,387,1
-26.4454391567534,68379.7884943001,388,1
-26.4360720658286,68380.7884943001,389,1
-26.4267049749038,68381.7884943001,390,1
-26.4173378839789,68382.7884943001,391,1
-26.4079707930541,68383.7884943001,392,1
-26.3986037021293,68384.7884943001,393,1
-26.3892366112045,68385.7884943001,394,1
-26.3798695202797,68386.7884943001,395,1
-26.3705024293549,68387.7884943001,396,1
-26.3611353384301,68388.7884943001,397,1
-26.3517682475052,68389.7884943001,398,1
-26.3424011565804,68390.7884943001,399,1
-26.3330340656556,68391.7884943001,400,1
-26.3236669747308,68392.7884943001,401,1
-26.314299883806,68393.7884943001,402,1
-26.3049327928812,68394.7884943001,403,1
-26.2955657019564,68395.7884943001,404,1
-26.2861986110315,68396.7884943001,405,1
-26.2768315201067,68397.7884943001,406,1
-26.2674644291819,68398.7884943001,407,1
-26.2580973382571,68399.7884943001,408,1
-26.2487302473323,68400.7884943001,409,1
-26.2393631564075,68401.7884943001,410,1
-26.2299960654827,68402.7884943001,411,1
-26.2206289745578,68403.7884943001,412,1
-26.211261883633,68404.7884943001,413,1
-26.2018947927082,68405.7884943001,414,1
-26.1925277017834,68406.7884943001,415,1
-26.1831606108586,68407.7884943001,416,1
-26.1737935199338,68408.7884943001,417,1
-26.164426429009,68409.7884943001,418,1
-26.1550593380842,68410.7884943001,419,1
-26.1456922471593,68411.7884943001,420,1
-26.1363251562345,68412.7884943001,421,1
-26.1269580653097,68413.7884943001,422,1
-26.1175909743849,68414.7884943001,423,1
-26.1082238834601,68415.7884943001,424,1
-26.0988567925353,68416.7884943001,425,1
-26.0894897016105,68417.7884943001,426,1
-26.0801226106856,68418.7884943001,427,1
-26.0707555197608,68419.7884943001,428,1
-26.061388428836,68420.7884943001,429,1
-26.0520213379112,68421.7884943001,430,1
-26.0426542469864,68422.7884943001,431,1
-26.0332871560616,68423.7884943001,432,1
-26.0239200651368,68424.7884943001,433,1
-26.0145529742119,68425.7884943001,434,1
-26.0051858832871,68426.7884943001,435,1
-25.9958187923623,68427.7884943001,436,1
-25.9864517014375,68428.7884943001,437,1
-25.9770846105127,68429.7884943001,438,1
-25.9677175195879,68430.7884943001,439,1
-25.9583504286631,68431.7884943001,440,1
-25.9489833377382,68432.7884943001,441,1
-25.9396162468134,68433.7884943001,442,1
-25.9302491558886,68434.7884943001,443,1
-25.9208820649638,68435.7884943001,444,1
-25.911514974039,68436.7884943001,445,1
-25.9021478831142,68437.7884943001,446,1
-25.8927807921894,68438.7884943001,447,1
-25.8834137012645,68439.7884943001,448,1
-25.8740466103397,68440.7884943001,449,1
-25.8646795194149,68441.7884943001,450,1
-25.8553124284901,68442.7884943001,451,1
-25.8459453375653,68443.7884943001,452,1
-25.8365782466405,68444.7884943001,453,1
-25.8272111557157,68445.7884943001,454,1
-25.8178440647909,68446.7884943001,455,1
-25.808476973866,68447.7884943001,456,1
-25.7991098829412,68448.7884943001,457,1
-25.7897427920164,68449.7884943001,458,1
-25.7803757010916,68450.7884943001,459,1
-25.7710086101668,68451.7884943001,460,1
-25.761641519242,68452.7884943001,461,1
-25.7522744283172,68453.7884943001,462,1
-25.7429073373923,68454.7884943001,463,1
-25.7335402464675,68455.7884943001,464,1
-25.7241731555427,68456.7884943001,465,1
-25.7148060646179,68457.7884943001,466,1
-25.7054389736931,68458.7884943001,467,1
-25.6960718827683,68459.7884943001,468,1
-25.6867047918435,68460.7884943001,469,1
-25.6773377009186,68461.7884943001,470,1
-25.6679706099938,68462.7884943001,471,1
-25.658603519069,68463.7884943001,472,1
